"","分布形态","似然函数值","AIC","BIC"
"MS(2)-GARCH","ged-sged","6237.21558895218","-12452.4311779044","-12386.1469011187"
"MS(2)-GARCH","sged-sged","6293.97920793497","-12563.9584158699","-12491.6482957401"
"MS(3)-GARCH","norm-norm-norm","6026.88831329093","-12023.7766265819","-11933.3889764196"
"MS(3)-GARCH","snorm-norm-norm","6197.66981543649","-12363.339630873","-12266.9261373666"
"MS(3)-GARCH","std-norm-norm","6230.69425917064","-12429.3885183413","-12332.9750248349"
"MS(3)-GARCH","sstd-norm-norm","6254.72937957504","-12475.4587591501","-12373.0194222995"
"MS(3)-GARCH","ged-norm-norm","6223.2795678067","-12414.5591356134","-12318.145642107"
"MS(3)-GARCH","sged-norm-norm","6252.92263837387","-12471.8452767477","-12369.4059398972"
"MS(3)-GARCH","norm-snorm-norm","6031.73992331672","-12031.4798466334","-11935.066353127"
"MS(3)-GARCH","snorm-snorm-norm","6200.60126563005","-12367.2025312601","-12264.7631944095"
"MS(3)-GARCH","std-snorm-norm","6231.50604441248","-12429.012088825","-12326.5727519744"
"MS(3)-GARCH","sstd-snorm-norm","6253.76882026136","-12471.5376405227","-12363.072460328"
"MS(3)-GARCH","ged-snorm-norm","6232.37717255425","-12430.7543451085","-12328.3150082579"
"MS(3)-GARCH","sged-snorm-norm","6248.41043832705","-12460.8208766541","-12352.3556964594"
"MS(3)-GARCH","norm-std-norm","6056.34324093128","-12080.6864818626","-11984.2729883561"
"MS(3)-GARCH","snorm-std-norm","6239.52941544345","-12445.0588308869","-12342.6194940363"
"MS(3)-GARCH","std-std-norm","6258.34388793425","-12482.6877758685","-12380.2484390179"
"MS(3)-GARCH","sstd-std-norm","6286.29903627539","-12536.5980725508","-12428.1328923561"
"MS(3)-GARCH","ged-std-norm","6250.72802521148","-12467.456050423","-12365.0167135724"
"MS(3)-GARCH","sged-std-norm","6286.53385643148","-12537.067712863","-12428.6025326682"
"MS(3)-GARCH","norm-sstd-norm","6162.95329882674","-12291.9065976535","-12189.4672608029"
"MS(3)-GARCH","snorm-sstd-norm","6231.11754941484","-12426.2350988297","-12317.769918635"
"MS(3)-GARCH","std-sstd-norm","6273.50982990492","-12511.0196598098","-12402.5544796151"
"MS(3)-GARCH","sstd-sstd-norm","6287.13575103331","-12536.2715020666","-12421.7804785277"
"MS(3)-GARCH","ged-sstd-norm","6288.53881052042","-12541.0776210408","-12432.6124408461"
"MS(3)-GARCH","sged-sstd-norm","6292.28170900395","-12546.5634180079","-12432.072394469"
"MS(3)-GARCH","norm-ged-norm","6084.06049298424","-12136.1209859685","-12039.7074924621"
"MS(3)-GARCH","snorm-ged-norm","6247.29485232463","-12460.5897046493","-12358.1503677987"
"MS(3)-GARCH","std-ged-norm","6284.33513348338","-12534.6702669668","-12432.2309301162"
"MS(3)-GARCH","sstd-ged-norm","6306.88731164766","-12577.7746232953","-12469.3094431006"
"MS(3)-GARCH","ged-ged-norm","6245.08374184715","-12456.1674836943","-12353.7281468437"
"MS(3)-GARCH","sged-ged-norm","6295.50853617815","-12555.0170723563","-12446.5518921616"
"MS(3)-GARCH","norm-sged-norm","6149.73870358591","-12265.4774071718","-12163.0380703212"
"MS(3)-GARCH","snorm-sged-norm","6247.61629465429","-12459.2325893086","-12350.7674091139"
"MS(3)-GARCH","std-sged-norm","6280.15011931378","-12524.3002386276","-12415.8350584328"
"MS(3)-GARCH","sstd-sged-norm","6299.30516069964","-12560.6103213993","-12446.1192978604"
"MS(3)-GARCH","ged-sged-norm","6261.76406152376","-12487.5281230475","-12379.0629428528"
"MS(3)-GARCH","sged-sged-norm","6307.47157976895","-12576.9431595379","-12462.452135999"
"MS(3)-GARCH","norm-norm-snorm","6134.55988280978","-12237.1197656196","-12140.7062721132"
"MS(3)-GARCH","snorm-norm-snorm","6210.45713244883","-12386.9142648977","-12284.4749280471"
"MS(3)-GARCH","std-norm-snorm","6231.40148102292","-12428.8029620458","-12326.3636251953"
"MS(3)-GARCH","sstd-norm-snorm","6254.90266571919","-12473.8053314384","-12365.3401512437"
"MS(3)-GARCH","ged-norm-snorm","6224.16272560712","-12414.3254512142","-12311.8861143637"
"MS(3)-GARCH","sged-norm-snorm","6252.97486969482","-12469.9497393896","-12361.4845591949"
"MS(3)-GARCH","norm-snorm-snorm","6030.78258342966","-12027.5651668593","-11925.1258300087"
"MS(3)-GARCH","snorm-snorm-snorm","6218.55868381771","-12401.1173676354","-12292.6521874407"
"MS(3)-GARCH","std-snorm-snorm","6233.55559195779","-12431.1111839156","-12322.6460037209"
"MS(3)-GARCH","sstd-snorm-snorm","6253.19064868274","-12468.3812973655","-12353.8902738266"
"MS(3)-GARCH","ged-snorm-snorm","6232.73623567347","-12429.4724713469","-12321.0072911522"
"MS(3)-GARCH","sged-snorm-snorm","6251.0862320194","-12464.1724640388","-12349.6814404999"
"MS(3)-GARCH","norm-std-snorm","6045.81890537775","-12057.6378107555","-11955.1984739049"
"MS(3)-GARCH","snorm-std-snorm","6250.30380874655","-12464.6076174931","-12356.1424372984"
"MS(3)-GARCH","std-std-snorm","6258.47798931499","-12480.95597863","-12372.4907984353"
"MS(3)-GARCH","sstd-std-snorm","6286.38840307299","-12534.776806146","-12420.2857826071"
"MS(3)-GARCH","ged-std-snorm","6250.74478407464","-12465.4895681493","-12357.0243879546"
"MS(3)-GARCH","sged-std-snorm","6287.20481663311","-12536.4096332662","-12421.9186097274"
"MS(3)-GARCH","norm-sstd-snorm","6059.7429446805","-12083.485889361","-11975.0207091663"
"MS(3)-GARCH","snorm-sstd-snorm","6247.17822089203","-12456.3564417841","-12341.8654182452"
"MS(3)-GARCH","std-sstd-snorm","6283.18781880363","-12528.3756376073","-12413.8846140684"
"MS(3)-GARCH","sstd-sstd-snorm","6287.2071773132","-12534.4143546264","-12413.8974877434"
"MS(3)-GARCH","ged-sstd-snorm","6290.98813033045","-12543.9762606609","-12429.485237122"
"MS(3)-GARCH","sged-sstd-snorm","6292.42601792608","-12544.8520358522","-12424.3351689691"
"MS(3)-GARCH","norm-ged-snorm","6216.38951471974","-12398.7790294395","-12296.3396925889"
"MS(3)-GARCH","snorm-ged-snorm","6246.70952451269","-12457.4190490254","-12348.9538688307"
"MS(3)-GARCH","std-ged-snorm","6284.55015292398","-12533.100305848","-12424.6351256532"
"MS(3)-GARCH","sstd-ged-snorm","6294.05164624499","-12550.10329249","-12435.6122689511"
"MS(3)-GARCH","ged-ged-snorm","6245.00516997897","-12454.0103399579","-12345.5451597632"
"MS(3)-GARCH","sged-ged-snorm","6295.51757185385","-12553.0351437077","-12438.5441201688"
"MS(3)-GARCH","norm-sged-snorm","6085.97793728507","-12135.9558745701","-12027.4906943754"
"MS(3)-GARCH","snorm-sged-snorm","6241.0714264728","-12444.1428529456","-12329.6518294067"
"MS(3)-GARCH","std-sged-snorm","6280.40794458961","-12522.8158891792","-12408.3248656404"
"MS(3)-GARCH","sstd-sged-snorm","6299.33351216259","-12558.6670243252","-12438.1501574422"
"MS(3)-GARCH","ged-sged-snorm","6275.94412169195","-12513.8882433839","-12399.397219845"
"MS(3)-GARCH","sged-sged-snorm","6307.84429154279","-12575.6885830856","-12455.1717162026"
"MS(3)-GARCH","norm-norm-std","6170.40729199193","-12308.8145839839","-12212.4010904774"
"MS(3)-GARCH","snorm-norm-std","6247.506548788","-12461.013097576","-12358.5737607254"
"MS(3)-GARCH","std-norm-std","6253.44571807827","-12472.8914361565","-12370.452099306"
"MS(3)-GARCH","sstd-norm-std","6285.64686101283","-12535.2937220257","-12426.8285418309"
"MS(3)-GARCH","ged-norm-std","6254.67320462665","-12475.3464092533","-12372.9070724027"
"MS(3)-GARCH","sged-norm-std","6269.28480236906","-12502.5696047381","-12394.1044245434"
"MS(3)-GARCH","norm-snorm-std","6052.39931636088","-12070.7986327218","-11968.3592958712"
"MS(3)-GARCH","snorm-snorm-std","6231.05950028302","-12426.119000566","-12317.6538203713"
"MS(3)-GARCH","std-snorm-std","6260.65373309368","-12485.3074661874","-12376.8422859926"
"MS(3)-GARCH","sstd-snorm-std","6279.50981403022","-12521.0196280604","-12406.5286045216"
"MS(3)-GARCH","ged-snorm-std","6255.23811494567","-12474.4762298913","-12366.0110496966"
"MS(3)-GARCH","sged-snorm-std","6277.64037159747","-12517.2807431949","-12402.7897196561"
"MS(3)-GARCH","norm-std-std","6064.68435235546","-12095.3687047109","-11992.9293678603"
"MS(3)-GARCH","snorm-std-std","6279.07782161838","-12522.1556432368","-12413.690463042"
"MS(3)-GARCH","std-std-std","6289.60521139804","-12543.2104227961","-12434.7452426014"
"MS(3)-GARCH","sstd-std-std","6308.85220788921","-12579.7044157784","-12465.2133922396"
"MS(3)-GARCH","ged-std-std","6274.90581166559","-12513.8116233312","-12405.3464431365"
"MS(3)-GARCH","sged-std-std","6323.41166520748","-12608.823330415","-12494.3323068761"
"MS(3)-GARCH","norm-sstd-std","6078.66150986016","-12121.3230197203","-12012.8578395256"
"MS(3)-GARCH","snorm-sstd-std","6226.73768704102","-12415.475374082","-12300.9843505432"
"MS(3)-GARCH","std-sstd-std","6301.39497405204","-12564.7899481041","-12450.2989245652"
"MS(3)-GARCH","sstd-sstd-std","6310.95587122143","-12581.9117424429","-12461.3948755598"
"MS(3)-GARCH","ged-sstd-std","6258.53406154925","-12479.0681230985","-12364.5770995596"
"MS(3)-GARCH","sged-sstd-std","6317.20479474346","-12594.4095894869","-12473.8927226039"
"MS(3)-GARCH","norm-ged-std","6109.60185646991","-12185.2037129398","-12082.7643760892"
"MS(3)-GARCH","snorm-ged-std","6270.34252458427","-12504.6850491685","-12396.2198689738"
"MS(3)-GARCH","std-ged-std","6286.17074021962","-12536.3414804392","-12427.8763002445"
"MS(3)-GARCH","sstd-ged-std","6317.47036713508","-12596.9407342702","-12482.4497107313"
"MS(3)-GARCH","ged-ged-std","6262.60334752091","-12489.2066950418","-12380.7415148471"
"MS(3)-GARCH","sged-ged-std","6324.28489095336","-12610.5697819067","-12496.0787583679"
"MS(3)-GARCH","norm-sged-std","6106.4789301153","-12176.9578602306","-12068.4926800359"
"MS(3)-GARCH","snorm-sged-std","6254.79756172281","-12471.5951234456","-12357.1040999067"
"MS(3)-GARCH","std-sged-std","6295.68268396928","-12553.3653679386","-12438.8743443997"
"MS(3)-GARCH","sstd-sged-std","6323.84992886032","-12607.6998577206","-12487.1829908376"
"MS(3)-GARCH","ged-sged-std","6282.10599309385","-12526.2119861877","-12411.7209626488"
"MS(3)-GARCH","sged-sged-std","6330.15451859532","-12620.3090371906","-12499.7921703076"
"MS(3)-GARCH","norm-norm-sstd","6042.05467985215","-12050.1093597043","-11947.6700228537"
"MS(3)-GARCH","snorm-norm-sstd","6232.84402538939","-12429.6880507788","-12321.2228705841"
"MS(3)-GARCH","std-norm-sstd","6256.84181690878","-12477.6836338176","-12369.2184536228"
"MS(3)-GARCH","sstd-norm-sstd","6279.86164461094","-12521.7232892219","-12407.232265683"
"MS(3)-GARCH","ged-norm-sstd","6254.06369803941","-12472.1273960788","-12363.6622158841"
"MS(3)-GARCH","sged-norm-sstd","6274.65954450741","-12511.3190890148","-12396.828065476"
"MS(3)-GARCH","norm-snorm-sstd","6046.19623112969","-12056.3924622594","-11947.9272820647"
"MS(3)-GARCH","snorm-snorm-sstd","6240.10058538443","-12442.2011707689","-12327.71014723"
"MS(3)-GARCH","std-snorm-sstd","6238.39668794543","-12438.7933758909","-12324.302352352"
"MS(3)-GARCH","sstd-snorm-sstd","6272.89502633663","-12505.7900526733","-12385.2731857902"
"MS(3)-GARCH","ged-snorm-sstd","6258.3951946923","-12478.7903893846","-12364.2993658457"
"MS(3)-GARCH","sged-snorm-sstd","6276.6043487158","-12513.2086974316","-12392.6918305486"
"MS(3)-GARCH","norm-std-sstd","6218.5503457155","-12401.100691431","-12292.6355112363"
"MS(3)-GARCH","snorm-std-sstd","6276.52841072677","-12515.0568214535","-12400.5657979147"
"MS(3)-GARCH","std-std-sstd","6303.68551829795","-12569.3710365959","-12454.880013057"
"MS(3)-GARCH","sstd-std-sstd","6309.51210676826","-12579.0242135365","-12458.5073466535"
"MS(3)-GARCH","ged-std-sstd","6279.08206361365","-12520.1641272273","-12405.6731036884"
"MS(3)-GARCH","sged-std-sstd","6328.34685825424","-12616.6937165085","-12496.1768496255"
"MS(3)-GARCH","norm-sstd-sstd","6074.57972176098","-12111.159443522","-11996.6684199831"
"MS(3)-GARCH","snorm-sstd-sstd","6180.85401496479","-12321.7080299296","-12201.1911630466"
"MS(3)-GARCH","std-sstd-sstd","6314.01725726894","-12588.0345145379","-12467.5176476549"
"MS(3)-GARCH","sstd-sstd-sstd","6311.90859500363","-12581.8171900073","-12455.2744797801"
"MS(3)-GARCH","ged-sstd-sstd","6266.848349825","-12493.69669965","-12373.179832767"
"MS(3)-GARCH","sged-sstd-sstd","6319.33251740937","-12596.6650348187","-12470.1223245916"
"MS(3)-GARCH","norm-ged-sstd","6096.6382125851","-12157.2764251702","-12048.8112449755"
"MS(3)-GARCH","snorm-ged-sstd","6269.13475704971","-12500.2695140994","-12385.7784905606"
"MS(3)-GARCH","std-ged-sstd","6326.62015178755","-12615.2403035751","-12500.7492800362"
"MS(3)-GARCH","sstd-ged-sstd","6322.05765624742","-12604.1153124948","-12483.5984456118"
"MS(3)-GARCH","ged-ged-sstd","6256.05068992689","-12474.1013798538","-12359.6103563149"
"MS(3)-GARCH","sged-ged-sstd","6326.76271745094","-12613.5254349019","-12493.0085680189"
"MS(3)-GARCH","norm-sged-sstd","6113.24755676296","-12188.4951135259","-12074.004089987"
"MS(3)-GARCH","snorm-sged-sstd","6274.89837013878","-12509.7967402776","-12389.2798733945"
"MS(3)-GARCH","std-sged-sstd","6310.58143073136","-12581.1628614627","-12460.6459945797"
"MS(3)-GARCH","sstd-sged-sstd","6324.82381858903","-12607.6476371781","-12481.1049269509"
"MS(3)-GARCH","ged-sged-sstd","6280.08403573427","-12520.1680714685","-12399.6512045855"
"MS(3)-GARCH","sged-sged-sstd","6330.49510524455","-12618.9902104891","-12492.4475002619"
"MS(3)-GARCH","norm-norm-ged","6171.0488237855","-12310.097647571","-12213.6841540646"
"MS(3)-GARCH","snorm-norm-ged","6244.61818399019","-12455.2363679804","-12352.7970311298"
