"","模型","分布","Loglik","AIC","BIC"
"74","MSGARCH-3","snorm-norm-std",6247.50407521584,-12461.0081504317,-12358.5688135811
"75","MSGARCH-3","std-norm-std",6253.44635440594,-12472.8927088119,-12370.4533719613
"76","MSGARCH-3","sstd-norm-std",6285.64643850171,-12535.2928770034,-12426.8276968087
"77","MSGARCH-3","ged-norm-std",6254.67226174963,-12475.3445234993,-12372.9051866487
"78","MSGARCH-3","sged-norm-std",6269.28889944912,-12502.5777988982,-12394.1126187035
"79","MSGARCH-3","norm-snorm-std",6050.58448884587,-12067.1689776917,-11964.7296408412
"80","MSGARCH-3","snorm-snorm-std",6231.05910823721,-12426.1182164744,-12317.6530362797
"81","MSGARCH-3","std-snorm-std",6260.65305219449,-12485.306104389,-12376.8409241943
"82","MSGARCH-3","sstd-snorm-std",6279.50919877258,-12521.0183975452,-12406.5273740063
"83","MSGARCH-3","ged-snorm-std",6255.23718964568,-12474.4743792914,-12366.0091990966
"84","MSGARCH-3","sged-snorm-std",6277.68053544748,-12517.361070895,-12402.8700473561
"85","MSGARCH-3","norm-std-std",6064.68337561747,-12095.3667512349,-11992.9274143844
"86","MSGARCH-3","snorm-std-std",6279.07714197895,-12522.1542839579,-12413.6891037632
"87","MSGARCH-3","std-std-std",6289.59947097488,-12543.1989419498,-12434.733761755
"88","MSGARCH-3","sstd-std-std",6308.85159431049,-12579.703188621,-12465.2121650821
"89","MSGARCH-3","ged-std-std",6274.90104895046,-12513.8020979009,-12405.3369177062
"90","MSGARCH-3","sged-std-std",6323.28019030779,-12608.5603806156,-12494.0693570767
"91","MSGARCH-3","norm-sstd-std",6078.68027796953,-12121.3605559391,-12012.8953757444
"92","MSGARCH-3","snorm-sstd-std",6226.73685760563,-12415.4737152113,-12300.9826916724
"93","MSGARCH-3","std-sstd-std",6301.3941250119,-12564.7882500238,-12450.2972264849
"94","MSGARCH-3","sstd-sstd-std",6310.95534824009,-12581.9106964802,-12461.3938295972
"95","MSGARCH-3","ged-sstd-std",6258.5336819032,-12479.0673638064,-12364.5763402675
"96","MSGARCH-3","sged-sstd-std",6317.20415972908,-12594.4083194582,-12473.8914525751
"97","MSGARCH-3","norm-ged-std",6109.59981426786,-12185.1996285357,-12082.7602916852
"98","MSGARCH-3","snorm-ged-std",6270.34173231746,-12504.6834646349,-12396.2182844402
"99","MSGARCH-3","std-ged-std",6286.17751563144,-12536.3550312629,-12427.8898510682
"100","MSGARCH-3","sstd-ged-std",6317.4945716505,-12596.989143301,-12482.4981197621
"101","MSGARCH-3","ged-ged-std",6262.60190275032,-12489.2038055006,-12380.7386253059
"102","MSGARCH-3","sged-ged-std",6322.045293014,-12606.090586028,-12491.5995624891
"103","MSGARCH-3","norm-sged-std",6099.93612918011,-12163.8722583602,-12055.4070781655
