"","MS(1)-norm","MS(2)-sstd-ged","MS(3)-sged-std-sged"," µº ÷µ"
"25",-0.0723175419044229,-0.0179296409631458,-0.0078578074555018,0.00754025528498219
"26",-0.0723178851482165,-0.0259876673036641,-0.0179302381133073,0.00588689284795578
"27",-0.0723188743093146,-0.0239749495744703,-0.0159176287853295,0.00542880837113492
"28",-0.0723304062822885,-0.0219800499617853,-0.0159380072033248,0.00473549138726664
"29",-0.0723304995983918,-0.0199661954968129,-0.0159381721043836,-0.00284295984437309
"30",-0.0723310645769104,-0.0159391704910814,-0.00989718183902832,-0.00364961075304617
"31",-0.0723311308773824,-0.0159392876521893,-0.00788331004859044,0.000423949417469158
"32",-0.0723314319999753,-0.0159398197729355,-0.00788387516907263,0.0149396254428604
"33",-0.0743461142264732,-0.0380947164487973,-0.0763600807696776,-0.022533357258683
"34",-0.0763602748089509,-0.038095017350279,-0.106569688592113,0.00206045046021697
"35",-0.074346436303742,-0.0340672868916401,-0.0622626914801114,0.000595397585332604
"36",-0.0743464657745463,-0.030039419684831,-0.0340673329657142,-0.000179728566336078
"37",-0.0743472702426367,-0.0260128547377891,-0.032054656675895,-0.000121880979947603
"38",-0.0723357490390946,-0.0199751842651397,-0.0300445236447464,0.000320138167171147
"39",-0.0723363582693872,-0.0159485250983347,-0.0300454833910979,0.000243484123875553
"40",-0.07233673364667,-0.0139353475359014,-0.0280322338385008,0.000740796819273776
"41",-0.0723368846829828,-0.0139356185736683,-0.0260186391480093,0.00119078529048243
"42",-0.0723377439504898,-0.0139371605468661,-0.0219924134301244,0.00167943627783043
"43",-0.0723379274181186,-0.0139374897832958,-0.0199789143662084,0.00318768565707093
"44",-0.0723380671587825,-0.0179653492823741,-0.02199295801396,0.000172064064912816
"45",-0.0723383027013924,-0.0159519611494121,-0.0119243653242707,7.68743583816022e-05
"46",-0.0723383467553631,-0.0139382422925975,-0.00789685217575964,-0.000465473159422673
"47",-0.0723383714691934,-0.0119244906135521,-0.00588310252798796,-0.00147711102408003
"48",-0.0723387964342783,-0.0119252648650081,-0.00387012732243885,-0.000493693923959996
"49",-0.0723388788269383,-0.0119254149776633,-0.00387028646442644,-0.000216107491084839
"50",-0.0723390481070882,-0.0119257233921828,-0.00387061343019535,0.000198856594093499
"51",-0.072339615743906,-0.0119267575798097,-0.00387170982459661,0.000130384375481525
